File_Name,Actual_Label,Predicted_Label
world-europe-67701246.txt,War in Ukraine,War in Ukraine
world-asia-67213293.txt,Tech,Tech
uk-67745408.txt,Israel-Gaza war,Israel-Gaza war
uk-wales-67719479.txt,Tech,Health
world-europe-67702458.txt,War in Ukraine,War in Ukraine
entertainment-arts-67751212.txt,Entertainment & Arts,Entertainment & Arts
world-67729077.txt,War in Ukraine,War in Ukraine
uk-67740606.txt,Israel-Gaza war,Israel-Gaza war
world-middle-east-67738792.txt,Israel-Gaza war,Israel-Gaza war
uk-england-london-67737663.txt,War in Ukraine,Tech
uk-england-merseyside-67751407.txt,Entertainment & Arts,Entertainment & Arts
newsbeat-67725857.txt,Tech,Tech
uk-67756506.txt,Entertainment & Arts,Health
uk-england-devon-67752445.txt,Health,Health
world-us-canada-67693315.txt,Israel-Gaza war,Israel-Gaza war
business-67748605.txt,Israel-Gaza war,Israel-Gaza war
entertainment-arts-67725679.txt,Tech,Entertainment & Arts
entertainment-arts-67753073.txt,Entertainment & Arts,Entertainment & Arts
uk-england-birmingham-67750174.txt,Health,Health
uk-northern-ireland-67749785.txt,Health,Health
cv27ldlg3jko.txt,War in Ukraine,War in Ukraine
uk-england-bristol-67741956.txt,Israel-Gaza war,Israel-Gaza war
world-europe-67725570.txt,War in Ukraine,War in Ukraine
